	methods
132	Bayes' theorem
133	Bayes classifier
134	Bayes error rate
135	Bayes estimator
136	Bayes factor
137	Bayes linear statistics
138	Bayesian (disambiguation)
139	Bayesian average
140	Bayesian brain
141	Bayesian econometrics
142	Bayesian experimental design
143	Bayesian game
144	Bayesian inference
145	Bayesian inference in marketing
146	Bayesian inference in phylogeny
147	Bayesian inference using Gibbs sampling
148	Bayesian information criterion
149	Bayesian linear regression
150	Bayesian multivariate linear regression
151	Bayesian network
152	Bayesian probability
153	Bayesian search theory
154	Bayesian spam filtering
155	Bayesian statistics
156	Bayesian tool for methylation analysis
157	Bayesian vector autoregression
158	Bean machine
159	Behrens–Fisher distribution
160	Behrens–Fisher problem
161	Belief propagation
162	Belt transect
163	Benford's law
164	Benini distribution
165	Bennett's inequality
166	Berkson's paradox
167	Berkson error model
168	Berlin procedure
169	Bernoulli distribution
170	Bernoulli process
171	Bernoulli sampling
172	Bernoulli scheme
173	Bernoulli trial
174	Bernstein inequalities (probability theory)
175	Bernstein–von Mises theorem
176	Berry–Esseen theorem
177	Bertrand's ballot theorem
178	Bertrand's box paradox
179	Bessel's correction
180	Bessel process
181	Best linear unbiased prediction
182	Beta-binomial distribution
183	Beta-binomial model
184	Beta (finance)
185	Beta distribution
186	Beta function
187	Beta negative binomial distribution
188	Beta prime distribution
189	Beta rectangular distribution
190	Beverton–Holt model
191	Bhatia–Davis inequality
192	Bhattacharya coefficient
193	Bhattacharyya distance
194	Bias (statistics)
195	Bias of an estimator
196	Biased random walk (biochemistry)
197	Biclustering
198	Big O in probability notation
199	Bills of Mortality
200	Bimodal distribution
201	Binary classification
202	Bingham distribution
203	Binomial distribution
204	Binomial proportion confidence interval
205	Binomial regression
206	Binomial test
207	Bioinformatics
208	Biometrics (statistics)
209	Biostatistics
210	Biplot
211	Birnbaum–Saunders distribution
212	Birth–death process
213	Bispectrum
214	Bivariate analysis
215	Bivariate von Mises distribution
216	Black–Scholes
217	Bland–Altman plot
218	Blind deconvolution
219	Blind experiment
220	Block design
221	Blocking (statistics)
222	Bochner's theorem
223	Bonferroni correction
224	Bonferroni inequalities
225	Boole's inequality
226	Boolean analysis
227	Bootstrap aggregating
228	Bootstrap error-adjusted single-sample technique
229	Bootstrapping (statistics)
230	Bootstrapping populations
231	Borel–Cantelli lemma
232	Bose–Mesner algebra
233	Box plot
234	Box–Behnken design
235	Box–Cox distribution
236	Box–Cox transformation
237	Box–Jenkins
238	Box–Jenkins method
239	Box–Muller transform
240	Box–Pierce test
241	Branching process
242	Bregman divergence
243	Breusch–Godfrey test
244	Breusch–Pagan statistic
245	Breusch–Pagan test
246	Brownian bridge
247	Brownian excursion
248	Brownian motion
249	Brownian tree
250	Brown–Forsythe test
251	Bruck–Ryser–Chowla theorem
252	Burke's theorem
253	Burr distribution
254	Business statistics
255	Buzen's algorithm
256	Bühlmann model
257	C-chart
258	CDF-based nonparametric confidence interval
259	CHAID
260	CMA-ES
261	CURE data clustering algorithm
262	CUSUM
263	Calculating demand forecast accuracy
264	Calculus of predispositions
265	Calibrated probability assessment
266	Calibration (probability)
267	Calibration (statistics)
268	Cancer cluster
269	Candlestick chart
270	Canonical analysis
271	Canonical correlation
272	Canopy clustering algorithm
273	Cantor distribution
274	Carpet plot
275	Cartogram
276	Cartography
277	Case-control
278	Case-control study
279	Catastro of Ensenada
280	Categorical data
281	Categorical distribution
282	Categorical variable
283	Cauchy distribution
284	Cauchy–Schwarz inequality
285	Causal Markov condition
286	Ceiling effect (statistics)
287	Cellular noise
288	Censored regression model
289	Censoring (clinical trials)
290	Censoring (statistics)
291	Census
292	Centering matrix
293	Centerpoint (geometry)
294	Central composite design
295	Central limit theorem
296	Central limit theorem (illustration)
297	Central limit theorem for directional statistics
298	Central moment
299	Central tendency
300	Cepstrum
301	Chain rule for Kolmogorov complexity
302	Challenge–dechallenge–rechallenge
303	Champernowne distribution
304	Change detection
305	Change detection (GIS)
306	Chapman–Kolmogorov equation
307	Chapman–Robbins bound
308	Characteristic function (probability theory)
309	Chauvenet's criterion
310	Chebyshev's inequality
311	Chebyshev center
312	Checking if a coin is biased
313	Checking whether a coin is fair
314	Cheeger bound
315	Chemometrics
316	Chernoff's distribution
317	Chernoff's inequality
318	Chernoff bound
319	Chernoff face
320	Chi-squared distribution
321	Chi-squared test
322	Chi distribution
323	Chinese restaurant process
324	Choropleth map
325	Chou's invariance theorem
326	Chow test
327	Chronux
328	Circular analysis
329	Circular distribution
330	Circular error probable
331	Circular statistics
332	Circular uniform distribution
333	Clark–Ocone theorem
334	Class membership probabilities
335	Classic data sets
336	Classical definition of probability
337	Classical test theory
338	Classification rule
339	Classifier (mathematics)
340	Climate ensemble
341	Climograph
342	Clinical significance
343	Clinical study design
344	Clinical trial
345	Clinical utility of diagnostic tests
346	Cliodynamics
347	Closed testing procedure
348	Cluster-weighted modeling
349	Cluster analysis
350	Cluster randomised controlled trial
351	Cluster sampling
352	Clustering high-dimensional data
353	Coalescent theory
354	Cochran's C test
355	Cochran's Q test
356	Cochran's theorem
357	Cochrane–Orcutt estimation
358	Cochran–Armitage test for trend
359	Cochran–Mantel–Haenszel statistics
360	Coding (social sciences)
361	Coefficient of coherence
362	Coefficient of determination
363	Coefficient of dispersion
364	Coefficient of variation
365	Cognitive pretesting
366	Cohen's class distribution function
367	Cohen's kappa
368	Coherence (signal processing)
369	Coherence (statistics)
370	Cohort (statistics)
371	Cohort effect
372	Cohort study
373	Cointegration
374	Collectively exhaustive events
375	Collider (epidemiology)
376	Combinatorial data analysis
377	Combinatorial design
378	Combinatorial meta-analysis
379	Common-method variance
380	Common cause and special cause (statistics)
381	Common mode failure
382	Comonotonicity
383	Comparing means
384	Comparison of general and generalized linear models
385	Comparison of statistical packages
386	Comparisonwise error rate
387	Complementary event
388	Complete-linkage clustering
389	Complete spatial randomness
390	Completely randomized design
391	Completeness (statistics)
392	Composite bar chart
393	Compositional data
394	Compound Poisson distribution
395	Compound Poisson process
396	Compound probability distribution
397	Computational formula for the variance
398	Computational learning theory
399	Computational statistics
400	Computer-assisted survey information collection
401	Computer experiment
402	Concomitant (statistics)
403	Concordance correlation coefficient
404	Concordant pair
405	Concrete illustration of the central limit theorem
406	Concurrent validity
407	Conditional change model
408	Conditional dependence
409	Conditional expectation
410	Conditional independence
411	Conditional probability
412	Conditional probability distribution
413	Conditional random field
414	Conditional variance
415	Conditionality principle
416	Confidence and prediction bands
417	Confidence band
418	Confidence distribution
419	Confidence interval
420	Confidence region
421	Configural frequency analysis
422	Confirmation bias
423	Confirmatory factor analysis
424	Confounding
425	Confounding factor
426	Confusion of the inverse
427	Congruence coefficient
428	Conjoint analysis
429	Conjoint analysis (in healthcare)
430	Conjoint analysis (in marketing)
431	Conjugate prior
432	Consensus-based assessment
433	Consensus clustering
434	Consensus forecast
435	Conservatism (belief revision)
436	Consistency (statistics)
437	Consistent estimator
438	Constant elasticity of substitution
439	Constant false alarm rate
440	Constraint (information theory)
441	Consumption distribution
442	Contact process (mathematics)
443	Content validity
444	Contiguous distribution
445	Contingency table
446	Continuity correction
447	Continuous-time Markov process
448	Continuous-time stochastic process
449	Continuous mapping theorem
450	Continuous probability distribution
451	Continuous stochastic process
452	Contrast (statistics)
453	Control chart
454	Control event rate
455	Control limits
456	Control variate
457	Controlling for a variable
458	Convergence of measures
459	Convergence of random variables
460	Convex hull
461	Convolution of probability distributions
462	Convolution random number generator
463	Conway–Maxwell–Poisson distribution
464	Cook's distance
465	Cophenetic correlation
466	Copula (statistics)
467	Cornish–Fisher expansion
468	Correct sampling
469	Correction for attenuation
470	Correlate summation analysis
471	Correlation
472	Correlation and dependence
473	Correlation clustering
474	Correlation does not imply causation
475	Correlation function
476	Correlation function (astronomy)
477	Correlation function (quantum field theory)
478	Correlation function (statistical mechanics)
479	Correlation implies causation
480	Correlation inequality
481	Correlation ratio
482	Correlogram
483	Correspondence analysis
484	Cosmic variance
485	Cost-of-living index
486	Count data
487	Counternull
488	Counting process
489	Covariance
490	Covariance and correlation
491	Covariance function
492	Covariance intersection
493	Covariance matrix
494	Covariate
495	Cover's theorem
496	Coverage probability
497	Cox's theorem
498	Cox process
499	Cox–Ingersoll–Ross model
500	Cramér's V
501	Cramér's theorem (large deviations)
502	Cramér–Rao bound
503	Cramér–von Mises criterion
504	Cramér’s decomposition theorem
505	Craps principle
506	Credal set
507	Credible interval
508	Cricket statistics
509	Crime statistics
510	Critical region
511	Cromwell's rule
512	Cronbach's alpha
513	Cross-correlation
514	Cross-covariance
515	Cross-entropy method
516	Cross-sectional data
517	Cross-sectional regression
518	Cross-sectional study
519	Cross-spectrum
520	Cross-validation (statistics)
521	Cross tabulation
522	Crossover study
523	Crystal Ball function
524	Cumulant
525	Cumulant generating function
526	Cumulative accuracy profile
527	Cumulative distribution function
528	Cumulative frequency analysis
529	Cumulative incidence
530	Cunningham function
531	Curve fitting
532	Cuzick–Edwards test
533	Cyclostationary process
534	Càdlàg
535	D'Agostino's K-squared test
536	D-separation
537	D/M/1 queue
538	DAP (software)
539	DFFITS
540	Dagum distribution
541	Data-snooping bias
542	DataDetective
543	Data Desk
544	Data analysis
545	Data assimilation
546	Data binning
547	Data classification (business intelligence)
548	Data cleansing
549	Data clustering
550	Data collection
551	Data dredging
552	Data fusion
553	data collection
554	Data mining
555	Data point
556	Data quality assurance
557	Data reduction
558	Data set
559	Data stream clustering
560	Data transformation (statistics)
561	Data visualization
562	Dataplot
563	Davies–Bouldin index
564	Davis distribution
565	DeFries–Fulker regression
566	De Finetti's game
567	De Finetti's theorem
568	De Moivre's law
569	De Moivre–Laplace theorem
570	Decision boundary
571	Decision theory
572	Decomposition of time series
573	Degenerate distribution
574	Degrees of freedom (statistics)
575	Delaporte distribution
576	Delphi method
577	Delta method
578	Demand forecasting
579	Deming regression
580	Demographic statistics
581	Demographics
582	Demography
583	Dendrogram
584	Density estimation
585	Dependent and independent variables
586	Descriptive research
587	Descriptive statistics
588	Design effect
589	Design matrix
590	Design of experiments
591	Design of quasi-experiments
592	Detailed balance
593	Detection theory
594	Determining the number of clusters in a data set
595	Detrended correspondence analysis
596	Detrended fluctuation analysis
597	Deviance (statistics)
598	Deviance information criterion
599	Deviation (statistics)
600	absolute difference
601	Diagnostic odds ratio
602	Dickey–Fuller test
603	Difference in differences
604	Differential entropy
605	Diffusion-limited aggregation
606	Diffusion process
607	Dilution assay
608	Dimension reduction
609	Direct relationship
610	Directional statistics
611	Dirichlet-multinomial distribution
612	Dirichlet distribution
613	Dirichlet process
614	Disattenuation
615	Discrepancy function
616	Discrete choice
617	Discrete choice analysis
618	Discrete distribution
619	Discrete frequency domain
620	Discrete phase-type distribution
621	Discrete probability distribution
622	Discrete time
623	Discretization of continuous features
624	Discriminant function analysis
625	Discriminative model
626	Disorder problem
627	Distance correlation
628	Distance sampling
629	Distributed lag
630	Distribution fitting
631	Divergence (statistics)
632	Diversity index
633	Divisia index
634	Divisia monetary aggregates index
635	Dixon's Q test
636	Dominating decision rule
637	Donsker's theorem
638	Doob's martingale convergence theorems
639	Doob's martingale inequality
640	Doob decomposition theorem
641	Doob martingale
642	Doob–Meyer decomposition theorem
643	Doomsday argument
644	Dot plot (bioinformatics)
645	Dot plot (statistics)
646	Double counting (fallacy)
647	Laplace distribution
648	Double mass analysis
649	Doubly stochastic model
650	Drift rate
651	Dudley's theorem
652	Dummy variable (statistics)
653	Duncan's new multiple range test
654	Dunn index
655	Dunnett's test
656	Durbin test
657	Durbin–Watson statistic
658	Dutch book
659	Dvoretzky–Kiefer–Wolfowitz inequality
660	Dyadic distribution
661	Dynamic Bayesian network
662	Dynamic factor
663	Dynamic topic model
664	E-statistic
665	EMG distribution
666	EWMA chart
667	Earth mover's distance
668	Eaton's inequality
669	Ecological correlation
670	Ecological fallacy
671	Ecological regression
672	Ecological study
673	Econometric model
674	Econometric software
675	Econometrics
676	Economic data
677	Economic epidemiology
678	Economic statistics
679	Eddy covariance
680	Edgeworth series
681	Effect size
682	Efficiency (statistics)
683	Efficient estimator
684	Ehrenfest model
685	Elastic map
686	Elliptical distribution
687	Ellsberg paradox
688	Elston–Stewart algorithm
689	Empirical
690	Empirical Bayes method
691	Empirical distribution function
692	Empirical likelihood
693	Empirical measure
694	Empirical orthogonal functions
695	Empirical probability
696	Empirical process
697	Empirical statistical laws
698	Encyclopedia of Statistical Sciences
699	End point of clinical trials
700	Endogeneity (economics)
701	Energy distance
702	Energy statistics (disambiguation)
703	Engineering statistics
704	Engineering tolerance
705	Engset calculation
706	Ensemble Kalman filter
707	Ensemble forecasting
708	Entropy (information theory)
709	Entropy estimation
710	Entropy power inequality
711	Environmental statistics
712	Epi Info
713	Epidata
714	Epidemic model
715	Epidemiological methods
716	Epidemiology
717	Epilogism
718	Epitome (image processing)
719	Epps effect
720	Equating
721	Equipossible
722	Equiprobable
723	Erdős–Rényi model
724	Ergodic theory
725	Ergodicity
726	Erlang distribution
727	Error bar
728	Error correction model
729	Error function
730	Errors-in-variables models
731	Errors and residuals in statistics
732	Estimating equations
733	Estimation of covariance matrices
734	Estimation of signal parameters via rotational invariance techniques
735	Estimation theory
736	Estimator
737	Etemadi's inequality
738	Ethical problems using children in clinical trials
739	Event (probability theory)
740	Event study
741	Evidence lower bound
742	Evidence under Bayes theorem
743	Evolutionary data mining
744	Ewens's sampling formula
745	Exact statistics
746	Exact test
747	Examples of Markov chains
748	Excess risk
749	Exchange paradox
750	Exchangeable random variables
751	Expander walk sampling
752	Expectation propagation
753	Expectation–maximization algorithm
754	Expected utility hypothesis
755	Expected value
756	Expected value of sample information
757	Experiment
758	Experimental design diagram
759	Experimental event rate
760	Experimental uncertainty analysis
761	Experimenter's bias
762	Experimentwise error rate
763	Explained sum of squares
764	Explained variation
765	Explanatory variable
766	Exploratory data analysis
767	Exploratory factor analysis
768	Exponential-logarithmic distribution
769	Exponential dispersion model
770	Exponential distribution
771	Exponential family
772	Exponential power distribution
773	Exponential random numbers
774	Exponential smoothing
775	Exponentially modified Gaussian distribution
776	Exponentiated Weibull distribution
777	Exposure variable
778	Extended Kalman filter
779	Extended negative binomial distribution
780	Extensions of Fisher's method
781	External validity
782	Extrapolation domain analysis
783	Extreme value theory
784	Extremum estimator
785	F-distribution
786	F-divergence
787	F-statistics
788	F-test
789	F-test of equality of variances
790	F1 score
791	FLAME clustering
792	FWL theorem
793	Factor analysis
794	Factor graph
795	Factor regression model
796	Factorial code
797	Factorial experiment
798	Factorial moment
799	Factorial moment generating function
800	Failure rate
801	Fair coin
802	Falconer's formula
803	False discovery rate
804	False nearest neighbor algorithm
805	False positive paradox
806	False positive rate
807	Familywise error rate
808	Fan chart (statistics)
809	Fan chart (time series)
810	Fano factor
811	FastICA
812	Fast Fourier transform
813	Fast Kalman filter
814	Fat-tailed distribution
815	Feasible generalized least squares
816	Feature extraction
817	Feller's coin-tossing constants
818	Feller-continuous process
819	Feller process
820	Felsenstein's tree-pruning algorithm
821	Fides (reliability)
822	Fiducial inference
823	Field experiment
824	Fieller's theorem
825	File drawer problem
826	Filtering problem (stochastic processes)
827	Financial econometrics
828	Financial models with long-tailed distributions and volatility clustering
829	Finite-dimensional distribution
830	First-hitting-time model
831	First-in-man study
832	Fishburn–Shepp inequality
833	Fisher's exact test
834	Fisher's inequality
835	Fisher's linear discriminator
836	Fisher's method
837	Fisher's noncentral hypergeometric distribution
838	Fisher's z-distribution
839	Fisher consistency
840	Fisher information
841	Fisher information metric
842	Fisher kernel
843	Fisher transformation
844	Fisher–Tippett distribution
845	Fisher–Tippett–Gnedenko theorem
846	Five-number summary
847	Fixed effects estimation
848	Fixed effects estimator
849	Fixed effects model
850	Fleiss' kappa
851	Fleming–Viot process
852	Flood risk assessment
853	Floor effect
854	Focused information criterion
855	Fokker–Planck equation
856	Folded normal distribution
857	Forecast bias
858	Forecast error
859	Forecast skill
860	Forecasting
861	Forest plot
862	Fork-join queue
863	Formation matrix
864	Forward measure
865	Foster's theorem
866	Foundations of statistics
867	Founders of statistics
868	Fourier analysis
869	Fowlkes–Mallows index
870	Fraction of variance unexplained
871	Fractional Brownian motion
872	Fractional factorial design
873	Free statistical software
874	Freedman's paradox
875	Freedman–Diaconis rule
876	Freidlin–Wentzell theorem
877	Frequency (statistics)
878	Frequency distribution
879	Frequency domain
880	Frequency probability
881	Frequentist inference
882	Friedman test
883	Friendship paradox
884	Frisch–Waugh–Lovell theorem
885	Fréchet distribution
886	Fréchet mean
887	Fully crossed design
888	Function approximation
889	Functional boxplot
890	Functional data analysis
891	Funnel plot
892	Fuzzy logic
893	Fuzzy measure theory
894	G-network
895	G-test
896	G/G/1 queue
897	GAUSS (software)
898	GEH statistic
899	GLIM (software)
900	GLUE (uncertainty assessment)
901	Galbraith plot
902	Gallagher Index
903	Galton's problem
904	Galton–Watson process
905	Gambler's fallacy
906	Gambler's ruin
907	Gambling and information theory
908	Game of chance
909	Gamma distribution
910	Gamma process
911	Gamma test (statistics)
912	Gamma variate
913	Gauss's inequality
914	Gaussian function
915	Gaussian isoperimetric inequality
916	Gaussian measure
917	Gaussian noise
918	Gaussian process
919	Gaussian process emulator
920	Gaussian q-distribution
921	Gauss–Kuzmin distribution
922	Gauss–Markov process
923	Gauss–Markov theorem
924	Gauss–Newton algorithm
925	Geary's C
926	GenStat
927	General linear model
928	General matrix notation of a VAR(p)
929	Generalised hyperbolic distribution
930	Generalizability theory
931	Generalized Dirichlet distribution
932	Generalized Gaussian distribution
933	Generalized Pareto distribution
934	Generalized Procrustes analysis
935	Generalized Tobit
936	Generalized Wiener process
937	Generalized additive model
938	Generalized additive model for location, scale and shape
939	Generalized beta distribution
940	Generalized canonical correlation
941	Generalized chi-squared distribution
942	Generalized entropy index
943	Generalized estimating equation
944	Generalized expected utility
945	Generalized extreme value distribution
946	Generalized gamma distribution
947	Generalized inverse Gaussian distribution
948	Generalized least squares
949	Generalized linear array model
950	Generalized linear mixed model
951	Generalized linear model
952	Generalized logistic distribution
953	Generalized method of moments
954	Generalized multidimensional scaling
955	Generalized multivariate log-gamma distribution
956	Generalized normal distribution
957	Generalized p-value
958	Generalized randomized block design
959	Generative model
960	Genetic epidemiology
961	Geo-imputation
962	Geodemographic segmentation
963	Geographic information system
964	Geometric Brownian motion
965	Geometric data analysis
966	Geometric distribution
967	Geometric mean
968	Geometric median
969	Geometric stable distribution
970	Geometric standard deviation
971	Geospatial predictive modeling
972	Geostatistics
973	German tank problem
974	Gerschenkron effect
975	Gibbs sampling
976	Gillespie algorithm
977	Gini coefficient
978	Girsanov theorem
979	Gittins index
980	Glivenko–Cantelli theorem
981	Glossary of experimental design
982	Glossary of probability and statistics
983	Goldfeld–Quandt test
984	Gompertz distribution
985	Gompertz function
986	Gompertz–Makeham law of mortality
987	Goodhart's law
988	Goodman and Kruskal's gamma
989	Goodman and Kruskal's lambda
990	Goodness of fit
991	Good–Turing frequency estimation
992	Gordon–Newell network
993	Gordon–Newell theorem
994	Graeco-Latin square
995	Grand mean
996	Granger causality
997	GraphPad InStat
998	GraphPad Prism
999	Graph cuts in computer vision
1000	Graphical model
1001	Graphical models for protein structure
1002	Gravity model of trade
1003	Greenwood statistic
1004	Gretl
1005	Group family
1006	Group method of data handling
1007	Group size measures
1008	Grouped data
1009	Grubbs' test for outliers
1010	Guess value
1011	Guesstimate
1012	Gumbel distribution
1013	Guttman scale
1014	Gy's sampling theory
1015	H-index
1016	Half-logistic distribution
1017	Half-normal distribution
1018	Half circle distribution
1019	Halton sequence
1020	Hamburger moment problem
1021	Hammersley–Clifford theorem
1022	Hannan–Quinn information criterion
1023	Hardy–Weinberg principle
1024	Harmonic mean
1025	Harris chain
1026	Hartley's test
1027	Hat matrix
1028	Hausdorff moment problem
1029	Hausman specification test
1030	Hausman test
1031	Haybittle–Peto boundary
1032	Hazard function
1033	Hazard ratio
1034	Health care analytics
1035	Heaps' law
1036	Heart rate variability
1037	Heavy-tailed distribution
1038	Heckman correction
1039	Hedonic regression
1040	Hellin's law
1041	Hellinger distance
1042	Helmert–Wolf blocking
1043	Herdan's law
1044	Herfindahl index
1045	Heston model
1046	Heteroscedasticity
1047	Heteroscedasticity-consistent standard errors
1048	Hidden Markov model
1049	Hidden Markov random field
1050	Hidden semi-Markov model
1051	Hierarchical Bayes model
1052	Hierarchical clustering
1053	Hierarchical hidden Markov model
1054	Hierarchical linear modeling
1055	High-dimensional statistics
1056	Higher-order factor analysis
1057	Higher-order statistics
1058	Hirschman uncertainty
1059	Histogram
1060	Historiometry
1061	History of randomness
1062	History of statistics
1063	Hitting time
1064	Hodges' estimator
1065	Hodges–Lehmann estimator
1066	Hoeffding's independence test
1067	Hoeffding's inequality
1068	Hoeffding's lemma
1069	Holm–Bonferroni method
1070	Holtsmark distribution
1071	Homogeneity (statistics)
1072	Homogenization (climate)
1073	Homoscedasticity
1074	Hoover index
1075	Horvitz–Thompson estimator
1076	Hosmer–Lemeshow test
1077	Hotelling's T-squared distribution
1078	How to Lie with Statistics
1079	Howland will forgery trial
1080	Hubbert curve
1081	Huber loss function
1082	Human subject research
1083	Hurst exponent
1084	Hyper-Graeco-Latin square design
1085	Hyper-exponential distribution
1086	Hyperbolic distribution
1087	Hyperbolic secant distribution
1088	Hypergeometric distribution
1089	Hyperparameter
1090	Hyperprior
1091	Hypoexponential distribution
1092	Hájek–Le Cam convolution theorem
1093	Idealised population
1094	Idempotent matrix
1095	Identifiability
1096	Ignorability
1097	Illustration of the central limit theorem
1098	Image denoising
1099	Importance sampling
1100	Imprecise probability
1101	Impulse response
1102	Imputation (statistics)
1103	Incidence (epidemiology)
1104	Increasing process
1105	Indecomposable distribution
1106	Independence of irrelevant alternatives
1107	Independent and identically distributed random variables
1108	Independent component analysis
1109	Index (economics)
1110	Index number
1111	Index of coincidence
1112	Index of dispersion
1113	Indicators of spatial association
1114	Indirect least squares
1115	Inductive inference
1116	Inference
1117	Inferential statistics
1118	Infinite divisibility (probability)
1119	Infinite monkey theorem
1120	Influence diagram
1121	Info-gap decision theory
1122	Information bottleneck method
1123	Information gain ratio
1124	Information geometry
1125	Information ratio
1126	Information source (mathematics)
1127	Information theory
1128	Inherent bias
1129	Inherent zero
1130	Injury prevention
1131	Innovation (signal processing)
1132	Innovations vector
1133	Institutional review board
1134	Instrumental variable
1135	Intention to treat analysis
1136	Inter-rater reliability
1137	Interaction (statistics)
1138	Interclass correlation
1139	Interdecile range
1140	Interim analysis
1141	Internal consistency
1142	Internal validity
1143	International Statistical Institute
1144	Interquartile mean
1145	Interquartile range
1146	Interval estimation
1147	Intervening variable
1148	Intra-rater reliability
1149	Intraclass correlation
1150	Invariant estimator
1151	Invariant extended Kalman filter
1152	Inverse-Wishart distribution
1153	Inverse-chi-squared distribution
1154	Inverse-gamma distribution
1155	Inverse-variance weighting
1156	Inverse Gaussian distribution
1157	Inverse Mills ratio
1158	Inverse distance weighting
1159	Inverse distribution
1160	Inverse matrix gamma distribution
1161	Inverse probability
1162	Inverse probability weighting
1163	Inverse relationship
1164	Inverse transform sampling
1165	Iris flower data set
1166	Irwin–Hall distribution
1167	Isomap
1168	Isotonic regression
1169	Isserlis' theorem
1170	Item-total correlation
1171	Item response theory
1172	Item tree analysis
1173	Iterative proportional fitting
1174	Iteratively reweighted least squares
1175	Itō's lemma
1176	Itō calculus
1177	Itō isometry
1178	JMP (statistical software)
1179	JMulTi
1180	Jaccard index
1181	Jackknife (statistics)
1182	Jackknife resampling
1183	Jackson's theorem (queueing theory)
1184	Jackson network
1185	Jadad scale
1186	James–Stein estimator
1187	Jarque–Bera test
1188	Jeffreys prior
1189	Jensen's inequality
1190	Jensen–Shannon divergence
1191	Johansen test
1192	Johnson SU distribution
1193	Joint probability distribution
1194	Jonckheere's trend test
1195	Jump-diffusion model
1196	Jump process
1197	Junction tree algorithm
1198	K-distribution
1199	K-means++
1200	K-means algorithm
1201	K-means clustering
1202	K-medians clustering
1203	K-medoids
1204	K-statistic
1205	KPSS test
1206	Kalman filter
1207	Kaplan–Meier estimator
1208	Kappa coefficient
1209	Kappa statistic
1210	Karhunen–Loève theorem
1211	Kendall's W
1212	Kendall's notation
1213	Kendall rank correlation coefficient
1214	Kendall tau distance
1215	Kendall tau rank correlation coefficient
1216	Kent distribution
1217	Kernel (statistics)
1218	Kernel Fisher discriminant analysis
1219	Kernel density estimation
1220	Kernel methods
1221	Kernel principal component analysis
1222	Kernel regression
1223	Kernel smoother
1224	Khintchine inequality
1225	Khmaladze transformation
1226	Killed process
1227	Kingman's formula
1228	Kirkwood approximation
1229	Kish grid
1230	Kitchen sink regression
1231	Klecka's tau
1232	Knightian uncertainty
1233	Kolmogorov's criterion
1234	Kolmogorov's generalized criterion
1235	Kolmogorov's inequality
1236	Kolmogorov's zero–one law
1237	Kolmogorov backward equation
1238	Kolmogorov continuity theorem
1239	Kolmogorov extension theorem
1240	Kolmogorov–Smirnov test
